locality,videoNumber,totalDuration
Curlew Patch Reef,1,68:24:00
Curlew Patch Reef,2,93:25:00
Curlew Patch Reef,3,68:25:00
Curlew Patch Reef,4,86:28:00
Curlew Patch Reef,5,64:31:00
Curlew Patch Reef,6,77:32:00
Curlew Patch Reef,7,68:25:00
Curlew Patch Reef,8,64:32:00
Curlew Patch Reef,9,65:47:00
Curlew Patch Reef,10,64:31:00
House Reef,1,68:25:00
House Reef,2,68:25:00
House Reef,3,
House Reef,4,85:31:00
House Reef,5,68:25:00
House Reef,6,73:39:00
House Reef,7,68:25:00
House Reef,8,64:28:00
House Reef,9,60:40:00
House Reef,10,57:06:00
South Reef,1,64:31:00
South Reef,2,64:31:00
South Reef,3,68:15:00
South Reef,4,87:23:00
South Reef,5,68:25:00
South Reef,6,77:51:00
South Reef,7,64:31:00
South Reef,8,64:31:00
South Reef,9,74:26:00
South Reef,10,67:08:00
Tobacco Reef,1,68:25:00
Tobacco Reef,2,64:31:00
Tobacco Reef,3,64:31:00
Tobacco Reef,4,64:31:00
Tobacco Reef,5,89:02:00
Tobacco Reef,6,68:25:00
Tobacco Reef,7,64:30:00
Tobacco Reef,8,74:02:00
Tobacco Reef,9,70:17:00
Tobacco Reef,10,66:15:00
CBC Central 30,1,68:25:00
CBC Central 30,2,64:20:00
CBC Central 30,3,95:40:00
CBC Central 30,4,64:31:00
CBC Central 30,5,80:23:00
CBC Central 30,6,64:31:00
CBC Central 30,7,64:31:00
CBC Central 30,8,64:23:00
CBC Central 30,9,62:08:00
CBC Central 30,10,56:34:00
CBC Patch Reef,1,105:22:00
CBC Patch Reef,2,68:26:00
CBC Patch Reef,3,68:25:00
CBC Patch Reef,4,61:27:00
CBC Patch Reef,5,89:53:00
CBC Patch Reef,6,
CBC Patch Reef,7,78:43:00
CBC Patch Reef,8,68:25:00
CBC Patch Reef,9,66:15:00
CBC Patch Reef,10,70:52:00
